timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,-0.07,-0.21,1.09,2.18,3.61,-1.29
50,-0.07,-0.2,1.09,-2.39,2.42,-1.17
100,-0.08,-0.2,1.09,13.6,-2.91,-0.86
150,-0.06,-0.23,1.02,-6.25,-3.04,0.93
200,-0.1,-0.18,1.02,8.06,-4.62,-1.72
250,-0.09,-0.18,0.96,-0.11,-3.36,-0.84
300,-0.07,-0.17,0.96,-9.28,-3.45,0.82
350,-0.05,-0.17,1.02,-2.4,-1.25,-0.33
400,-0.06,-0.22,1.02,-1.63,0.24,-0.34
450,-0.06,-0.19,1.02,-4.58,-0.76,-1.08
500,-0.06,-0.2,1.02,-0.88,-0.26,-0.87
550,-0.06,-0.18,1.02,-4.41,-1.79,-0.35
600,-0.06,-0.19,1.02,-3.84,-1.1,0.51
650,-0.04,-0.18,1.02,-1.85,-1.16,-0.3
700,-0.1,-0.23,1.02,-1.69,-0.96,0.5
750,-0.05,-0.22,1.02,-10.55,2.34,-1.27
800,-0.07,-0.21,1.15,-7.47,-3.19,-0.12
850,-0.47,-0.05,1.78,-55.92,-43.79,5.24
900,-0.47,-0.27,2.03,34.58,-113.3,52.56
950,0.17,-0.03,2.72,123.89,-173.98,46.04
1000,0.44,-0.5,0.83,72.89,-62.67,8.3
1050,0.32,-0.56,-0.3,73.32,29.97,-22.72
1100,0.89,-0.43,-0.17,17.55,21.55,16.59
1150,0.23,-0.05,-0.48,-5.37,47.9,8.56
1200,-0.32,0.07,-0.55,-30.42,35.59,-9.3
1250,-0.07,-0.13,0.14,-14.24,-27.27,-8.71
1300,0.16,-0.2,0.71,-6.41,-24.88,1.88
1350,0.52,-0.03,1.34,-62.31,-103.78,17.8
1400,0.64,-0.13,1.78,-92.64,65.9,-20.35
1450,-0.01,-0.36,1.52,-106.37,80.08,-36.27
1500,-0.01,-0.37,1.71,-69.4,152.57,-16.26
1550,-0.11,-0.47,1.4,-12.35,48.65,-12.62
1600,-0.09,-0.32,1.21,15.5,4.33,5.42
1650,-0.01,-0.27,1.02,28.94,-20.25,-5.08
1700,-0.01,-0.27,0.9,-0.95,1.53,-8.62
1750,0,-0.27,0.96,-10.48,13.65,-7.86
1800,0,-0.3,0.96,-11.03,9.22,-5.27
1850,0.01,-0.22,1.02,10.86,2.94,-3.01
1900,0,-0.27,1.09,8,6.55,-4.03
1950,0,-0.2,1.02,6.07,0.32,-1.55
2000,-0.01,-0.19,1.02,3.81,-0.05,1.95
2050,-0.02,-0.26,1.02,13.51,-1.29,2.87
2100,-0.03,-0.22,0.96,0.95,-4.09,1.32
2150,-0.03,-0.22,1.02,3.58,-1.11,0.52
2200,-0.02,-0.21,1.02,-4.95,-4.36,1.17
2250,-0.02,-0.24,1.02,7.73,-1.17,1.76
2300,-0.01,-0.23,1.02,1.65,-1.27,0.36
2350,-0.01,-0.24,1.02,-0.91,-0.17,0.21
2400,0.01,-0.26,1.02,-1.07,0.74,-0.41
2450,-0.02,-0.18,1.02,-2.87,-0.34,0.69
2500,-0.02,-0.23,1.02,1.77,-0.98,-0.54
2550,-0.02,-0.23,0.96,-2.02,0.32,0.65
2600,-0.03,-0.23,1.02,-1.46,-1.3,-1.21
2650,-0.03,-0.24,1.02,0.26,0.18,0.79
2700,-0.04,-0.21,1.02,-1.74,1.37,1.53
2750,0,-0.25,1.02,-4.39,0,0.61
2800,-0.05,-0.21,1.21,-6.61,-7.64,0.43
2850,-0.31,-0.08,1.52,-23.31,-46.48,5.11
2900,-0.15,-0.01,1.96,23.52,-113.58,48.83
2950,0.31,-0.14,2.47,-12.03,-221.6,67.02
3000,0.36,-0.87,1.27,57.95,-111.59,28.81
3050,0.58,-0.74,0.33,106.39,-39.18,-3.87
3100,0.49,-0.68,-0.23,41.18,33.55,-8.16
3150,0.03,0.05,-0.55,36.82,43.33,-20.87
3200,-0.08,0.4,-0.36,-22.32,34.79,2.46
3250,-0.15,0.04,-0.04,-29.57,8.19,-34.65
