timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.23,-0.34,1.09,-54.73,13.38,2.00
51,0.29,-0.18,1.09,-19.84,4.19,-2.74
102,0.24,-0.17,1.02,-15.15,14.00,-12.73
153,0.17,-0.13,0.90,-18.69,21.68,-3.51
204,0.12,-0.03,1.02,-19.14,17.43,-17.36
255,0.11,-0.16,1.21,-24.30,33.29,-22.61
306,0.13,-0.20,1.09,-35.87,40.25,-23.08
357,0.06,-0.30,1.15,-11.09,53.28,-19.03
408,-0.01,-0.17,1.02,-1.48,41.51,-8.26
459,-0.03,-0.20,1.09,7.90,24.85,-5.86
500,-0.06,-0.22,1.09,16.45,23.22,-4.28
551,-0.08,-0.23,1.09,15.65,15.27,-0.97
602,-0.12,-0.20,1.09,17.56,3.65,-0.21
653,-0.07,-0.21,1.09,2.18,3.61,-1.29
704,-0.07,-0.20,1.09,-2.39,2.42,-1.17
755,-0.08,-0.20,1.09,13.60,-2.91,-0.86
806,-0.06,-0.23,1.02,-6.25,-3.04,0.93
857,-0.10,-0.18,1.02,8.06,-4.62,-1.72
908,-0.09,-0.18,0.96,-0.11,-3.36,-0.84
949,-0.07,-0.17,0.96,-9.28,-3.45,0.82
1000,-0.05,-0.17,1.02,-2.40,-1.25,-0.33
1051,-0.06,-0.22,1.02,-1.63,0.24,-0.34
1102,-0.06,-0.19,1.02,-4.58,-0.76,-1.08
1153,-0.06,-0.20,1.02,-0.88,-0.26,-0.87
1204,-0.06,-0.18,1.02,-4.41,-1.79,-0.35
1255,-0.06,-0.19,1.02,-3.84,-1.10,0.51
1306,-0.04,-0.18,1.02,-1.85,-1.16,-0.30
1358,-0.10,-0.23,1.02,-1.69,-0.96,0.50
1409,-0.05,-0.22,1.02,-10.55,2.34,-1.27
1449,-0.07,-0.21,1.15,-7.47,-3.19,-0.12
1501,-0.47,-0.05,1.78,-55.92,-43.79,5.24
1552,-0.47,-0.27,2.03,34.58,-113.30,52.56
1603,0.17,-0.03,2.72,123.89,-173.98,46.04
1654,0.44,-0.50,0.83,72.89,-62.67,8.30
1705,0.32,-0.56,-0.30,73.32,29.97,-22.72
1756,0.89,-0.43,-0.17,17.55,21.55,16.59
1807,0.23,-0.05,-0.48,-5.37,47.90,8.56
1858,-0.32,0.07,-0.55,-30.42,35.59,-9.30
1909,-0.07,-0.13,0.14,-14.24,-27.27,-8.71
1950,0.16,-0.20,0.71,-6.41,-24.88,1.88
2001,0.52,-0.03,1.34,-62.31,-103.78,17.80
2052,0.64,-0.13,1.78,-92.64,65.90,-20.35
