timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.13,0.01,1.03,-1.39,-3.37,0.34
20,0.13,-0.05,0.97,-4.97,-4.96,-1.24
40,0.15,-0.02,1.03,0.48,-5.05,-1.88
60,0.13,0.01,1.03,-0.66,-1.32,3.84
80,0.18,-0.03,0.97,-3.61,-5.75,-0.61
100,0.13,-0.01,0.97,-1.59,-2.03,-0.56
120,0.17,0.01,0.97,3.86,-1.68,-4.78
140,0.13,0,1.03,-2.45,-1.86,-4.1
160,0.16,0.01,1.03,-5.13,-2.72,-3.57
180,0.16,0,0.97,-1.77,-0.26,-0.19
200,0.16,-0.01,0.97,2.48,-0.27,1.3
220,0.09,0.05,1.03,-1.94,3.8,-0.14
240,0.08,0.02,1.03,-2.9,5.41,1.5
260,0.07,0.01,1.03,4.1,1.4,0.05
280,0.08,0.03,1.03,3.75,0.31,-1.42
300,0,0.08,1.03,-12.98,-8.06,-8.85
320,-0.06,0.13,1.1,-36.38,-28.27,-27.43
340,0.02,0.13,1.16,-75.07,-40.89,-38.34
360,0.54,-0.49,-0.29,-155.74,-38.25,-36.54
380,0.07,-0.15,1.16,29.01,78.41,22.82
400,0.14,-0.04,1.41,23.99,29.11,10.43
420,-0.01,-0.14,1.28,-21.16,23.37,15.71
440,0.04,-0.04,1.03,-26.18,-1.48,-1.4
460,0.02,0.03,1.03,-18.94,-5.42,1.75
480,0.03,-0.02,1.1,5.01,-27.24,0.66
500,0.23,-0.04,0.78,24.99,-35.27,-0.88
520,-0.01,-0.16,0.59,21,-17.79,2.14
540,0.03,-0.08,1.16,53.42,-8.71,-3.41
560,0.12,-0.01,1.1,13.63,-2.28,-1.8
580,0.13,0.01,1.03,5.61,-5.79,-0.11
600,0.08,0,1.03,5.49,-12.34,3.77
620,0.11,-0.03,0.91,10.09,-13.69,5.71
640,0.11,0.01,1.03,13.12,-11.28,7.37
660,0.1,-0.01,1.03,10.95,-15.3,6.76
680,0.08,-0.04,1.03,8.33,-8.62,3.59
700,0.13,0.01,0.97,16.17,-7.8,0.66
720,0.1,-0.03,1.1,10.76,-6.55,3.06
740,0.09,-0.06,1.03,8,-10.53,0.83
760,0.1,-0.02,0.97,3.22,-8.9,-2.24
780,0.14,0.01,0.97,3.98,-6.9,-2.36
800,0.13,0,1.03,7.16,-7.06,-1.03
820,0.1,0.01,1.03,3.11,-6.39,-1.25
840,0.14,0.02,0.97,-5.07,-2.24,-2.4
860,0.15,0.05,1.03,-8.66,3.01,0.81
880,0.05,0.05,1.1,-15.62,-4.74,0.89
900,-0.02,0.08,1.03,-41.69,-19,-14.96
920,0.1,0.11,0.97,-65.38,-39.67,-28.56
940,0.43,-0.18,0.53,-83.45,62.19,-14.04
960,0.14,-0.13,1.41,11.65,35.01,18
980,0.07,-0.16,1.35,-26.25,17.23,21.22
1000,0,-0.16,1.16,-39.07,-1.46,6.74
