timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.05,0.27,0.83,249.21,-26.86,2.84
50,0.06,0.44,0.9,249.99,-22.45,5.69
100,0.08,0.68,0.52,163.32,-14.02,8.72
150,0.1,0.69,0.52,188.28,-11.97,1.59
200,0.12,0.79,0.27,177.28,-10.39,7.8
250,0.12,0.83,0.21,221.88,-14.33,4.49
300,0.13,0.84,-0.04,229.56,-17.22,11.89
350,0.22,0.8,-0.17,198.59,-27.47,15.98
400,0.15,0.79,-0.36,97.31,-1.27,7.64
450,0.11,0.75,-0.3,-0.82,6.68,-9.81
500,0.13,0.84,-0.36,-39.6,0.37,-17.95
550,0.1,0.77,-0.3,-43.97,-2.04,-11.99
600,0.12,0.82,-0.3,-59.36,-4.46,-11.48
650,0.06,0.88,-0.17,-76.53,-3.65,-11.84
700,0.06,0.8,-0.11,-154.83,-3.63,-27.82
750,0.07,0.89,-0.04,-178.02,-0.26,-31.27
800,0.04,0.81,0.14,-198.46,-3.48,-29.04
850,-0.01,0.76,0.27,-191.47,-5.07,-23.86
900,-0.01,0.7,0.52,-184.23,0.4,-13.7
950,0.03,0.55,0.71,-218.11,-0.21,-8.06
1000,-0.05,0.43,0.77,-181.37,-1.4,-5.68
1050,-0.03,0.3,0.9,-188.77,-1.29,-0.58
1100,0.01,0.21,1.02,-218.9,-3.3,-4.02
1150,-0.04,-0.06,0.9,-248.26,-3.74,-1.4
1200,0.01,-0.22,1.02,-233.7,-3.64,9.17
1250,0.08,-0.46,0.83,-246.7,-13.04,7.63
1300,-0.02,-0.66,0.83,-237.01,-28.46,13.35
1350,-0.02,-0.94,0.65,-213.49,-8.13,26.45
1400,-0.06,-0.96,0.58,-163.54,-11.15,15.88
1450,-0.05,-1.04,0.4,-143.87,3.84,16.4
1500,-0.1,-1.03,0.33,-79.59,8.51,1.48
1550,-0.09,-1.16,0.27,-4.21,7.29,-2.51
1600,-0.05,-1.16,0.33,52.38,-1.93,-4.42
1650,-0.06,-1.1,0.4,91.39,-4.06,-5.78
1700,-0.05,-1.03,0.46,97.02,-10.63,-6.94
1750,-0.04,-1.01,0.52,124.3,-9.13,-4.63
1800,-0.04,-0.87,0.65,178.77,-13.13,-10.76
1850,-0.03,-0.75,0.77,218.28,-11.99,-8
1900,0.01,-0.5,0.96,212.47,-15.72,-11.97
1950,-0.01,-0.39,0.96,201.71,-5.65,-8.26
2000,0.03,-0.18,1.02,197.2,-16.33,-5.23
2050,0.03,-0.01,1.02,222.22,-17.98,-7.74
2100,0.03,0.19,0.96,249.99,-19.94,-5.65
2150,0,0.36,0.77,197.39,-27.75,-12.88
2200,0.05,0.57,0.58,241.14,-9.64,6.97
2250,0.04,0.66,0.58,116.65,-9.12,1.14
2300,0.11,0.8,0.58,226.03,-2.14,12.21
2350,0.09,0.71,0.21,137.41,-8.58,2.56
2400,0.13,0.89,0.14,118.23,-2.63,6.58
2450,0.1,0.81,0.14,120.91,9.46,12.14
2500,0.09,0.81,0.02,46.82,-3.4,-0.09
2550,0.08,0.85,0.02,-3.62,3.87,-8.99
2600,0.11,0.86,0.02,-43.58,-0.15,-14.21
2650,0.06,0.84,0.08,-58.4,-6.23,-12.82
2700,0.04,0.85,0.14,-114.59,-7.87,-21.05
2750,0.03,0.82,0.21,-87.96,-5.63,-13.49
2800,0.05,0.87,0.33,-150.1,-7.48,-9.46
2850,0.05,0.73,0.4,-190.5,-14.2,-13.31
2900,0,0.67,0.52,-161,-4.39,-2.61
2950,0.05,0.51,0.77,-180.98,-0.86,-2.45
3000,0.08,0.41,0.9,-159.41,-4.69,-5.36
3050,0.06,0.34,0.83,-167.41,-6.77,-1.93
3100,0.05,0.21,0.9,-177.22,-13.12,0.31
3150,0.06,0.01,1.02,-224.73,-0.05,10.89
3200,0.11,-0.28,1.02,-238.11,-20.31,17.32
3250,0.07,-0.46,0.9,-248.34,-20.44,25.89
3300,0.07,-0.65,0.9,-216.9,-8.43,26.89
