timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.10,0.73,0.40,145.05,-6.35,9.78
41,0.14,0.75,0.33,166.46,-7.55,11.70
92,0.12,0.85,0.14,155.14,-2.77,11.73
143,0.14,0.85,0.08,156.49,-5.62,10.22
194,0.13,0.85,-0.04,91.01,-0.28,11.24
245,0.13,0.90,-0.04,40.08,-7.39,-2.27
296,0.13,0.80,-0.11,5.36,-7.23,-3.26
347,0.09,0.82,-0.11,-6.46,-5.16,-6.61
398,0.11,0.84,-0.11,-29.29,-2.08,-9.51
449,0.12,0.81,-0.11,-42.13,-7.61,-9.51
490,0.10,0.89,0.02,-63.82,-6.55,-11.59
541,0.08,0.93,0.08,-149.15,-9.63,-30.45
592,0.06,0.83,0.14,-190.46,-13.11,-43.24
643,-0.00,0.85,0.40,-210.14,2.89,-43.46
694,-0.02,0.65,0.40,-203.58,8.35,-37.84
745,-0.02,0.64,0.71,-199.13,7.63,-36.42
796,-0.08,0.42,0.83,-212.23,2.78,-29.06
848,-0.10,0.25,0.83,-206.15,5.10,-28.10
899,-0.08,0.10,1.02,-221.33,-2.17,-1.98
950,-0.09,-0.17,0.96,-242.50,2.24,-14.95
991,-0.09,-0.23,1.02,-232.45,2.62,-2.82
1042,-0.11,-0.44,0.77,-242.74,28.05,-4.43
1093,-0.09,-0.75,0.96,-212.67,13.34,8.95
1144,-0.09,-0.85,0.65,-98.33,10.68,-3.86
1195,-0.13,-0.88,0.77,-72.85,1.40,1.66
1246,-0.13,-0.88,0.58,-39.86,-2.08,-1.40
1297,-0.10,-1.00,0.71,-15.81,-1.33,-1.46
1348,-0.13,-0.91,0.65,-6.29,-1.79,-3.68
1399,-0.12,-0.95,0.65,6.53,-1.32,2.44
1450,-0.09,-0.91,0.65,22.40,-2.01,0.77
1491,-0.11,-0.91,0.65,67.06,-5.54,-0.39
1542,-0.12,-0.89,0.71,122.60,-6.55,-2.04
1593,-0.12,-0.78,0.90,195.38,-18.00,4.75
1644,-0.09,-0.47,0.96,209.64,-21.78,3.79
1695,-0.08,-0.26,0.96,219.28,-23.49,-3.43
1746,-0.01,-0.09,1.02,222.95,-25.15,-6.71
1797,-0.03,0.08,0.90,220.69,-19.88,-5.76
1848,-0.02,0.29,0.96,228.68,-18.51,-5.10
1899,0.01,0.51,0.71,183.50,-13.75,5.13
1940,-0.01,0.53,0.77,156.38,-14.55,3.57
1991,0.01,0.69,0.65,179.70,-11.71,1.79
2043,0.04,0.76,0.46,172.40,-7.23,4.55
