timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,-0.13,-0.14,1.02,0.22,0.48,0.37
41,-0.11,-0.14,1.02,-0.03,-0.02,0.82
92,-0.14,-0.11,0.96,0.85,0.31,-0.17
143,-0.13,-0.15,1.02,-0.40,-0.42,-0.31
194,-0.14,-0.15,1.02,-1.53,-1.02,-0.10
245,-0.11,-0.13,1.02,-1.54,-0.56,0.51
296,-0.13,-0.13,1.02,-0.58,-0.38,-0.21
347,-0.17,-0.13,1.02,-1.05,-1.21,-0.21
398,-0.15,-0.15,1.02,-1.09,-0.81,-0.18
449,-0.14,-0.14,1.02,-1.47,-1.17,-0.53
490,-0.13,-0.12,1.02,-1.17,-1.17,0.12
541,-0.12,-0.13,1.02,0.06,-0.34,-0.16
592,-0.14,-0.13,1.02,-0.02,0.11,0.21
643,-0.14,-0.16,1.02,-0.37,-0.58,0.31
694,-0.17,-0.12,1.02,-0.76,-0.11,0.02
745,-0.11,-0.09,1.02,-0.68,-0.38,0.11
796,-0.15,-0.13,1.02,0.32,-0.17,0.08
847,-0.12,-0.13,1.02,-0.06,-0.18,-0.20
898,-0.16,-0.13,1.02,0.44,0.31,-0.04
949,-0.13,-0.14,1.02,-0.18,-0.80,-0.39
990,-0.17,-0.12,1.02,-0.05,-0.53,-0.18
1041,-0.15,-0.17,1.02,-1.25,-1.07,0.11
1092,-0.13,-0.13,1.02,-1.08,-0.57,0.24
1143,-0.11,-0.16,1.02,-0.27,-0.18,0.06
1194,-0.14,-0.13,1.02,0.09,-0.21,0.09
1245,-0.15,-0.12,1.02,-0.63,-1.04,0.40
1296,-0.15,-0.14,1.02,0.37,-0.29,-0.14
1347,-0.12,-0.13,1.02,-0.97,0.02,0.35
1398,-0.14,-0.10,1.02,-0.71,-0.79,-0.18
1439,-0.14,-0.15,0.96,-1.88,-0.81,0.10
1490,-0.15,-0.11,1.02,-0.08,0.16,-0.02
1541,-0.16,-0.14,1.02,0.28,0.05,0.18
1592,-0.13,-0.14,1.02,-0.64,-0.53,0.21
