timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,-0.02,-0.12,-0.99,-0.49,-1.12,-0.13
51,-0.04,-0.14,-0.99,-0.26,-1.54,-0.40
102,-0.06,-0.15,-0.99,-0.08,-0.37,-0.57
153,-0.01,-0.17,-0.99,-0.77,-0.75,0.07
204,-0.02,-0.11,-0.99,-1.52,-1.46,-0.38
255,-0.02,-0.12,-0.99,-0.61,-0.61,0.37
306,-0.04,-0.13,-0.99,-1.74,-2.08,0.08
357,-0.02,-0.13,-0.99,-0.36,-0.70,-0.08
398,-0.03,-0.13,-0.99,-0.68,-1.80,-0.45
449,-0.02,-0.12,-0.99,-0.15,-1.43,-0.16
500,-0.01,-0.10,-0.99,-0.13,-1.04,-0.36
551,-0.05,-0.14,-0.99,-1.25,-1.28,0.42
602,-0.03,-0.12,-0.99,-1.56,-1.38,0.05
653,-0.03,-0.15,-0.99,-1.46,-1.79,-0.10
704,-0.01,-0.15,-0.99,-0.22,-0.44,-0.49
755,-0.04,-0.14,-0.99,-0.97,-0.79,-0.56
806,-0.01,-0.13,-0.99,-0.02,-1.46,-0.03
857,-0.04,-0.14,-0.99,-0.78,-1.19,0.08
898,-0.04,-0.12,-0.99,-0.57,-1.08,-0.05
949,-0.04,-0.15,-0.99,0.56,-0.69,-0.34
1000,-0.04,-0.12,-0.99,-2.31,-2.78,-0.40
1051,-0.04,-0.13,-0.99,-0.41,-0.72,-0.37
1102,-0.01,-0.14,-0.99,-1.20,-1.70,-0.43
1153,-0.04,-0.12,-0.99,-1.71,-1.26,-0.02
1204,-0.06,-0.12,-0.99,0.01,-0.52,0.50
1255,-0.06,-0.13,-0.99,-1.97,-2.62,-0.18
1306,-0.03,-0.16,-0.99,-2.01,-2.01,0.10
1357,-0.03,-0.14,-0.99,-1.23,-1.95,-0.06
1398,-0.03,-0.14,-0.99,0.64,-0.54,-0.49
1450,-0.04,-0.16,-0.99,-0.98,-0.77,0.28
1501,-0.04,-0.14,-0.99,-0.69,-1.40,0.35
1552,-0.04,-0.13,-0.99,-2.47,-2.27,-0.73
1603,-0.06,-0.15,-0.99,-0.25,-1.47,0.02
1654,-0.05,-0.16,-0.99,-0.61,-1.46,-0.64
