timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.26,-0.02,0.97,5.76,13.53,12.53
21,0.26,-0.05,0.91,6.44,21.85,17.62
42,0.18,-0.06,0.91,8.64,19.92,14.71
63,0.19,-0.09,0.91,16.56,22.29,13.33
83,0.18,-0.08,1.03,19.63,28.15,11.99
94,0.16,-0.08,1.03,17.79,28.85,8.98
115,0.13,-0.04,1.03,-2.53,24.03,0.56
136,0.15,-0.03,0.91,4.55,16.08,-2.59
156,0.22,-0.01,0.97,4.96,20.00,-1.27
177,0.16,-0.02,1.03,6.52,19.44,4.65
198,0.14,0.02,1.03,7.13,19.84,6.16
219,0.10,0.00,1.03,-3.01,18.86,3.90
239,0.16,-0.04,0.97,-12.33,5.42,-1.10
260,0.13,-0.00,0.97,-1.27,9.08,2.43
281,0.14,-0.04,0.97,4.42,3.42,3.54
302,0.11,-0.04,1.03,2.02,2.24,3.86
323,0.13,-0.02,1.03,-3.00,-3.28,-2.82
343,0.14,-0.05,0.97,-7.96,-9.22,-5.29
354,0.13,0.03,0.97,-6.65,-6.26,-5.43
375,0.07,0.08,1.16,-27.76,-10.72,-1.93
396,-0.05,0.17,1.22,-56.93,-39.02,-8.86
416,0.01,0.08,1.16,-109.57,-87.02,-29.39
437,0.55,-0.47,0.28,-119.51,46.55,-18.80
458,0.08,-0.31,1.22,16.72,49.38,9.61
479,0.20,-0.24,1.22,2.59,24.12,8.14
500,0.13,-0.20,1.03,-21.45,18.58,9.14
520,0.10,-0.07,0.97,-3.11,20.20,11.75
541,0.14,-0.04,1.03,20.88,2.74,16.85
562,0.11,-0.18,1.03,44.91,-20.86,18.28
583,0.18,-0.08,0.72,36.28,-11.98,8.45
604,0.05,-0.18,0.97,53.22,12.92,8.12
614,0.06,-0.11,1.10,53.06,8.80,2.91
635,0.20,-0.07,0.97,40.80,13.16,6.19
656,0.13,0.00,1.10,38.27,15.63,12.04
677,0.09,-0.06,1.16,23.09,2.53,11.98
697,0.08,-0.11,1.03,12.66,-7.45,8.20
718,0.11,-0.08,0.97,10.57,-7.72,3.30
739,0.11,-0.07,1.03,11.46,-4.98,-0.09
760,0.13,0.02,0.97,7.70,-3.53,-0.82
781,0.13,-0.01,0.97,1.87,-0.84,1.66
801,0.13,-0.07,0.91,6.97,-6.68,1.46
822,0.12,-0.02,1.03,9.83,-0.57,2.00
843,0.11,-0.05,1.03,2.17,0.02,3.07
854,0.10,-0.07,0.97,3.04,-1.82,-0.31
874,0.14,0.01,1.03,5.71,-2.43,-1.07
895,0.11,-0.04,0.97,3.82,-4.05,-0.07
916,0.12,0.01,1.03,1.69,-5.23,0.98
937,0.10,-0.06,0.97,-1.93,-5.94,0.56
958,0.12,-0.04,1.03,-2.48,-2.24,-1.46
978,0.14,-0.02,0.97,-0.78,-3.22,-0.90
999,0.14,0.01,0.97,1.34,-4.25,-0.56
1020,0.12,-0.06,0.97,0.79,-4.81,-1.40
1041,0.12,0.02,1.10,-8.26,-11.08,-4.37
1061,0.01,0.05,1.10,-38.38,-31.49,-11.76
1082,0.00,0.02,1.03,-70.14,-58.15,-36.20
1103,0.68,0.26,0.09,-163.52,29.07,-55.44
1114,0.41,-0.36,0.66,-29.37,53.77,-13.04
1135,0.15,-0.09,1.28,40.92,42.19,2.49
1155,0.09,-0.20,1.28,5.83,18.32,12.96
1176,0.08,-0.14,1.10,-0.29,6.01,1.70
1197,0.15,0.02,1.03,5.55,9.86,1.98
1218,0.16,0.03,1.03,23.40,3.79,9.45
1238,0.21,0.01,0.97,51.61,-5.10,17.13
1259,0.03,-0.04,0.84,31.89,18.01,21.54
1280,0.08,-0.04,1.03,37.01,10.90,11.96
1301,0.11,0.01,1.10,22.08,14.26,9.64
1322,0.16,0.04,1.03,6.06,9.30,8.84
1342,0.14,0.03,1.03,4.65,7.55,10.71
1363,0.10,-0.01,1.03,3.25,1.76,9.68
1374,0.07,-0.05,1.03,5.99,-2.65,7.64
1395,0.10,-0.02,0.97,9.48,0.43,4.91
1416,0.06,0.00,1.03,1.43,8.01,3.96
1436,0.08,0.01,1.03,1.40,3.67,2.95
1457,0.05,0.03,1.03,3.48,0.36,0.31
1478,0.07,0.00,1.03,3.11,-1.13,-0.57
1499,0.10,-0.00,1.03,1.00,-0.44,0.78
1519,0.12,0.01,1.03,-1.13,-2.13,3.00
1540,0.08,0.04,0.97,-0.40,1.14,4.41
1561,0.10,0.02,1.03,-0.43,-4.48,1.53
1582,0.09,-0.04,1.03,-3.45,-5.53,0.72
1603,0.10,-0.00,1.03,-3.36,-5.69,-1.30
1623,0.08,-0.01,0.97,-1.81,-4.96,-0.66
1634,0.10,0.01,1.03,-1.81,-5.98,-0.37
1655,0.12,-0.02,1.03,0.61,-4.59,-0.44
1676,0.07,0.02,1.03,0.64,-5.68,-1.46
1696,0.07,0.02,0.97,2.57,-4.88,-3.67
1717,0.13,0.03,1.03,0.03,-2.24,-2.95
1738,0.10,0.04,1.03,-1.84,-6.89,-3.30
1759,-0.00,0.07,1.03,-11.44,-20.06,-6.41
1780,0.00,0.17,1.10,-36.31,-48.87,-18.07
1800,0.48,-0.04,0.34,-128.09,58.69,-47.29
1821,0.10,-0.18,1.22,74.87,50.29,-9.41
1842,0.14,0.03,1.16,56.98,34.55,-9.83
1863,0.12,0.04,1.22,32.68,29.36,-2.52
1884,0.03,0.01,1.22,13.63,12.47,-1.40
1894,0.03,0.08,1.16,8.90,3.60,-4.34
1915,0.07,0.15,1.03,0.86,-4.28,-2.74
1936,0.15,0.10,1.03,-12.99,-11.90,4.65
1957,0.15,0.05,0.97,-1.34,-12.81,18.86
1977,0.10,-0.06,0.84,32.94,-5.75,29.82
1998,0.04,-0.15,0.78,27.08,31.66,23.86
2019,-0.02,0.05,1.22,37.98,30.98,11.75
2040,0.05,0.05,1.03,11.96,24.22,5.74
2061,0.08,0.08,1.16,5.93,17.82,5.36
2081,0.02,0.07,1.03,-1.03,5.38,5.29
2102,0.02,0.04,0.97,0.50,-5.02,4.16
2123,0.04,0.05,1.03,1.88,-5.71,2.30
2134,0.01,0.05,1.03,0.43,-4.66,2.30
2154,0.05,0.07,0.97,-3.43,-3.66,0.16
2175,0.07,0.06,1.10,-5.96,-3.06,1.26
2196,0.05,0.04,0.97,-5.33,-7.10,-1.18
2217,0.06,0.04,1.03,-3.25,-7.04,-2.01
2238,0.09,0.09,1.03,-4.01,-4.84,0.59
2258,0.06,0.06,0.97,-4.07,-4.29,2.97
2279,0.04,0.04,0.97,-3.27,-4.36,2.48
2300,0.04,0.05,0.97,-0.72,-3.24,0.01
2321,0.07,0.06,1.03,-1.64,-3.35,-0.73
2342,0.02,0.03,1.03,-3.24,-4.27,0.50
2362,0.04,0.04,1.03,-3.84,-3.68,0.27
2383,0.07,0.07,1.03,0.37,-5.02,-1.06
2394,0.07,0.07,1.03,-1.88,-6.90,-1.48
2415,0.04,0.05,1.03,-2.43,-7.18,-1.55
2435,0.07,0.04,0.97,-1.53,-4.18,-1.93
2456,0.05,0.02,1.03,-1.15,-4.43,-2.22
2477,0.08,0.04,1.03,1.24,-4.97,-4.04
2498,0.05,0.05,1.10,-1.94,-5.37,-3.22
2519,-0.03,0.17,1.16,-33.01,-22.71,-8.19
2539,-0.00,0.11,0.97,-60.30,-39.67,-19.76
2560,0.48,-0.26,-0.91,-119.61,-21.42,-23.46
2581,0.06,-0.14,1.03,16.06,59.25,25.67
2602,0.06,-0.10,1.28,22.00,12.41,8.99
2622,-0.06,-0.10,1.22,6.15,0.86,-1.57
2643,-0.02,-0.03,1.16,0.26,-8.67,-11.48
2654,0.04,0.02,1.10,-0.32,-8.20,-11.14
2675,0.08,0.08,1.10,7.55,-11.06,-5.88
2696,0.15,0.04,0.97,32.07,-20.10,5.62
2716,0.06,-0.06,0.91,19.84,-1.84,10.34
2737,0.07,0.01,1.03,15.96,3.38,4.87
2758,0.14,0.01,1.03,7.26,2.05,2.42
2779,0.11,0.06,1.03,2.22,6.26,2.46
2800,0.11,0.03,0.97,-1.27,4.34,6.50
2820,0.06,0.06,1.03,2.88,0.99,7.20
2841,0.07,0.02,1.03,0.26,-2.75,5.81
2862,0.06,0.00,1.03,-7.22,-5.66,0.65
2883,0.05,0.06,0.97,-3.63,-4.29,0.52
2903,0.05,0.04,0.97,-2.56,-3.83,1.25
2914,0.06,0.02,0.97,-1.31,-4.01,1.70
2935,0.04,-0.00,1.03,-0.27,-3.40,0.28
2956,0.10,0.00,1.03,-0.65,-3.79,-2.31
2977,0.09,0.02,0.97,2.14,-2.55,-1.82
2997,0.09,0.02,1.03,1.11,-3.11,-1.05
3018,0.07,0.01,0.97,1.09,-3.06,-1.43
3039,0.08,0.05,1.03,0.26,-3.13,-2.18
3060,0.06,0.04,1.03,0.14,-1.71,-2.37
3081,0.08,0.02,1.03,-2.25,0.02,-0.89
3101,0.07,0.00,1.03,-2.64,-3.33,-0.86
3122,0.07,0.02,0.97,-0.17,-2.81,-0.05
3143,0.10,0.03,1.03,0.44,-3.11,0.53
3154,0.09,0.02,1.03,-0.73,-3.16,1.33
3174,0.08,0.02,1.03,0.71,-3.23,0.62
3195,0.09,0.01,1.03,-2.39,-1.93,-0.53
3216,0.08,0.06,1.10,-6.04,-4.12,-1.68
3237,-0.04,0.12,1.22,-41.35,-13.41,-6.55
3258,-0.05,0.07,1.28,-97.15,-34.55,-25.33
3278,0.69,0.09,0.15,-166.02,69.66,-51.74
3299,-0.02,-0.06,1.16,34.27,76.32,22.15
3320,0.10,-0.05,1.28,25.49,35.28,20.38
3341,-0.06,-0.18,1.16,0.82,12.44,18.63
3361,-0.08,-0.06,1.16,-9.98,-17.85,2.85
3382,0.05,0.08,1.10,-6.35,-19.46,1.96
3403,0.07,-0.00,1.10,5.90,-29.99,5.49
3414,0.12,0.02,1.03,26.31,-40.31,8.98
3435,0.14,0.11,0.72,37.76,-31.72,14.13
3455,-0.01,-0.22,0.91,26.66,4.32,12.12
3476,0.02,-0.06,1.10,22.77,-4.07,3.99
3497,0.06,-0.02,1.10,2.04,-0.63,-1.86
3518,0.11,0.05,1.03,-1.70,-10.46,-2.97
3539,0.11,0.02,0.97,1.36,-14.27,0.34
3559,0.06,-0.04,1.03,0.89,-11.76,2.66
3580,0.07,-0.06,1.03,-2.75,-12.13,0.77
3601,0.07,-0.05,1.03,-5.16,-11.12,-3.02
3622,0.13,-0.01,0.97,-0.14,-12.37,-4.40
3642,0.06,-0.03,1.03,-2.77,-13.27,-5.12
3663,0.07,-0.00,0.97,0.59,-10.35,-4.00
3674,0.11,-0.01,0.97,3.27,-4.55,-2.06
3695,0.13,0.02,1.03,1.53,-3.68,-0.06
3716,0.10,0.01,1.03,-0.24,-4.75,-1.00
3736,0.10,-0.05,1.03,-3.17,-7.21,-1.46
3757,0.15,-0.01,0.97,-3.12,-6.84,-2.81
3778,0.11,-0.06,0.97,-0.69,-4.84,-1.21
3799,0.13,-0.01,0.97,1.39,-1.98,0.23
3820,0.09,-0.05,0.97,1.87,-0.50,-0.94
3840,0.11,-0.04,1.03,1.98,-2.70,-1.31
3861,0.10,-0.05,1.03,3.08,-0.79,-1.91
3882,0.13,0.03,1.03,1.63,-2.15,-0.47
3903,0.10,-0.02,0.97,0.96,-1.77,-1.59
3923,0.13,0.01,0.97,4.43,1.30,-2.74
3934,0.13,0.01,0.97,4.69,1.76,-3.43
3955,0.06,0.07,1.10,1.05,-2.76,-6.26
3976,0.07,0.16,1.16,-31.71,-8.16,-4.62
3997,0.03,0.19,1.10,-74.12,-43.82,-13.35
4017,0.65,-0.09,-0.66,-138.70,2.76,-19.85
4038,0.03,-0.24,1.10,48.09,51.16,29.73
4059,0.14,-0.21,1.41,36.23,20.33,12.51
4080,-0.02,-0.22,1.22,2.22,13.51,7.89
4101,0.05,-0.12,1.22,-1.88,-1.91,-4.21
4121,0.07,0.01,1.10,-9.22,-7.47,-1.13
4142,0.12,0.05,1.03,22.39,-21.77,6.86
4163,0.23,0.01,0.72,45.18,-21.73,10.03
4174,0.04,-0.08,0.78,25.70,-8.34,13.97
4194,0.09,-0.06,1.03,30.06,-4.17,10.15
4215,0.11,-0.04,1.03,10.12,-1.43,4.39
4236,0.17,-0.01,0.97,0.48,-2.91,-0.56
4257,0.17,0.02,0.97,3.48,-2.41,2.91
4278,0.13,-0.01,0.97,4.01,0.63,6.49
4298,0.09,-0.04,1.03,3.19,2.19,6.27
